Datetime, nVoters, nVotingOptions, design, citcuit, nConstraints, t_compile, t_proofGen, provingKeySize
20221105153022, 3, 3, original, PublicKeyGen, 1291, 4630, 12103, 807556
20221105153022, 3, 3, original, encryptedVoteGen, 5707, 17889, 25777, 3289900
20221105153022, 3, 3, original, tallying, 2675, 9006, 18136, 1661620
20221105153415, 4, 3, original, PublicKeyGen, 1291, 4672, 12048, 807556
20221105153415, 4, 3, original, encryptedVoteGen, 6249, 20128, 28375, 3584788
20221105153415, 4, 3, original, tallying, 3200, 10662, 20538, 1949288
20221105153831, 5, 3, original, PublicKeyGen, 1291, 4803, 12239, 807556
20221105153831, 5, 3, original, encryptedVoteGen, 6804, 21843, 30822, 3886960
20221105153831, 5, 3, original, tallying, 5965, 19494, 27349, 3491780
20221105154304, 6, 3, original, PublicKeyGen, 1291, 4840, 12071, 807556
20221105154304, 6, 3, original, encryptedVoteGen, 7348, 23632, 32568, 4182928
20221105154304, 6, 3, original, tallying, 6490, 21485, 29369, 3779448
20221105154756, 7, 3, original, PublicKeyGen, 1291, 4765, 12095, 807556
20221105154756, 7, 3, original, encryptedVoteGen, 7892, 25618, 34669, 4478896
20221105154756, 7, 3, original, tallying, 7015, 26091, 33302, 4067116
20221105155231, 3, 4, original, PublicKeyGen, 1291, 5391, 12255, 807556
20221105155231, 3, 4, original, encryptedVoteGen, 5710, 21505, 26531, 3291784
20221105155231, 3, 4, original, tallying, 3635, 17597, 21012, 2087092
20221105155701, 3, 5, original, PublicKeyGen, 1291, 5597, 12720, 807556
20221105155701, 3, 5, original, encryptedVoteGen, 5713, 22017, 26436, 3293668
20221105155701, 3, 5, original, tallying, 7475, 28863, 26208, 4051036
20221105160304, 3, 6, original, PublicKeyGen, 1291, 5513, 12455, 807556
20221105160304, 3, 6, original, encryptedVoteGen, 5716, 21458, 27600, 3295552
20221105160304, 3, 6, original, tallying, 22835, 103283, 51216, 12431452
20221105161612, 3, 7, original, PublicKeyGen, 1291, 5502, 12445, 807556
20221105161612, 3, 7, original, encryptedVoteGen, 5719, 21422, 26690, 3297436
20221105161612, 3, 7, original, tallying, 84275, 431567, 143070, 45953116
20221105162031, 4, 4, original, PublicKeyGen, 1291, 5116, 12070, 807556
20221105162031, 4, 4, original, encryptedVoteGen, 6252, 19652, 28290, 3586672
20221105162031, 4, 4, original, tallying, 4160, 14174, 23171, 2636904
20221105162450, 4, 5, original, PublicKeyGen, 1291, 4599, 11862, 807556
20221105162450, 4, 5, original, encryptedVoteGen, 6255, 19825, 27949, 3588556
20221105162450, 4, 5, original, tallying, 8000, 25658, 28070, 4338704
20221105163025, 4, 6, original, PublicKeyGen, 1291, 4635, 12107, 807556
20221105163025, 4, 6, original, encryptedVoteGen, 6258, 19810, 28033, 3590440
20221105163025, 4, 6, original, tallying, 23360, 78990, 50924, 12719120
20221105163614, 5, 4, original, PublicKeyGen, 1291, 4696, 11976, 807556
20221105163614, 5, 4, original, encryptedVoteGen, 6808, 21568, 30472, 3889472
20221105163614, 5, 4, original, tallying, 23885, 80737, 52775, 13006788
20221105170148, 5, 5, original, PublicKeyGen, 1291, 4707, 12046, 807556
20221105170148, 5, 5, original, encryptedVoteGen, 6812, 21658, 30606, 3891984
20221105170148, 5, 5, original, tallying, 167245, 1035075, 275865, 91224004
20221105170911, 6, 4, original, PublicKeyGen, 1291, 5524, 17243, 807556
20221105170911, 6, 4, original, encryptedVoteGen, 7352, 28594, 33411, 4185440
20221105170911, 6, 4, original, tallying, 24410, 99872, 57261, 13294456
