Datetime, nVoters, design, citcuit, nConstraints, t_compile, t_proofGen, provingKeySize
20221023051039, 4, original, PublicKeyGen, 1291, 7663, 29809, 807556
20221023051039, 4, original, encryptedVoteGen, 4723, 25446, 42921, 2861092
20221023051039, 4, original, tallying, 2900, 13423, 33628, 1816328
20221023065936, 100, original, PublicKeyGen, 1291, 8232, 26969, 807556
20221023065936, 100, original, encryptedVoteGen, 57755, 150248, 233339, 35398044
20221023065936, 100, original, tallying, 53780, 140391, 229771, 33577352
20221024005806, 200, original, PublicKeyGen, 1291, 6937, 25733, 807556
20221024005806, 200, original, encryptedVoteGen, 113355, 298460, 415984, 69854748
20221024005806, 200, original, tallying, 106780, 269640, 357760, 64542456
20221024132355, 200, original, PublicKeyGen, 1291, 6175, 29387, 807556
20221024132355, 200, original, encryptedVoteGen, 113355, 290401, 432109, 69854748
20221024132355, 200, original, tallying, 106780, 281029, 359715, 64542456
20221025133233, 200, original, PublicKeyGen, 1291, 9646, 32352, 807556
20221025133233, 200, original, encryptedVoteGen, 113355, 304501, 428507, 69854748
20221025133233, 200, original, tallying, 106780, 271964, 361532, 64542456
20221025235140, 100, original, PublicKeyGen, 1291, 5959, 29518, 807556
20221025235140, 100, original, encryptedVoteGen, 57755, 172499, 239465, 35398044
20221025235140, 100, original, tallying, 53780, 136876, 234274, 33577352
20221026153836, 100, original, PublicKeyGen, 1291, 5256, 22303, 807556
20221026153836, 100, original, encryptedVoteGen, 57755, 145330, 231831, 35398044
20221026153836, 100, original, tallying, 53780, 136931, 244634, 33577352
20221027150713, 100, original, PublicKeyGen, 1291, 6272, 29742, 807556
20221027150713, 100, original, encryptedVoteGen, 57755, 152273, 238707, 35398044
20221027150713, 100, original, tallying, 53780, 144127, 235357, 33577352
20221027163039, 100, original, PublicKeyGen, 1291, 5573, 26957, 807556
20221027163039, 100, original, encryptedVoteGen, 57755, 159117, 240629, 35398044
20221027163039, 100, original, tallying, 53780, 142703, 232470, 33577352
20221028115029, 100, original, PublicKeyGen, 1291, 7048, 24879, 807556
20221028115029, 100, original, encryptedVoteGen, 57755, 147711, 231589, 35398044
20221028115029, 100, original, tallying, 53780, 137481, 224878, 33577352
20221028234156, 100, original, PublicKeyGen, 1291, 5748, 24205, 807556
20221028234156, 100, original, encryptedVoteGen, 57755, 161579, 221962, 35398044
20221028234156, 100, original, tallying, 53780, 134313, 219953, 33577352
20221029104408, 100, original, PublicKeyGen, 1291, 5998, 22322, 807556
20221029104408, 100, original, encryptedVoteGen, 57755, 150691, 221343, 35398044
20221029104408, 100, original, tallying, 53780, 137222, 217625, 33577352
20221025235140, 100, original, PublicKeyGen, 1291, 5959, 29518, 807556
20221025235140, 100, original, encryptedVoteGen, 57755, 172499, 239465, 35398044
20221025235140, 100, original, tallying, 53780, 136876, 234274, 33577352
20221026153836, 100, original, PublicKeyGen, 1291, 5256, 22303, 807556
20221026153836, 100, original, encryptedVoteGen, 57755, 145330, 231831, 35398044
20221026153836, 100, original, tallying, 53780, 136931, 244634, 33577352
20221027150713, 100, original, PublicKeyGen, 1291, 6272, 29742, 807556
20221027150713, 100, original, encryptedVoteGen, 57755, 152273, 238707, 35398044
20221027150713, 100, original, tallying, 53780, 144127, 235357, 33577352
20221027163039, 100, original, PublicKeyGen, 1291, 5573, 26957, 807556
20221027163039, 100, original, encryptedVoteGen, 57755, 159117, 240629, 35398044
20221027163039, 100, original, tallying, 53780, 142703, 232470, 33577352
20221028115029, 100, original, PublicKeyGen, 1291, 7048, 24879, 807556
20221028115029, 100, original, encryptedVoteGen, 57755, 147711, 231589, 35398044
20221028115029, 100, original, tallying, 53780, 137481, 224878, 33577352
20221028234156, 100, original, PublicKeyGen, 1291, 5748, 24205, 807556
20221028234156, 100, original, encryptedVoteGen, 57755, 161579, 221962, 35398044
20221028234156, 100, original, tallying, 53780, 134313, 219953, 33577352
20221029104408, 100, original, PublicKeyGen, 1291, 5998, 22322, 807556
20221029104408, 100, original, encryptedVoteGen, 57755, 150691, 221343, 35398044
20221029104408, 100, original, tallying, 53780, 137222, 217625, 33577352
20221029173608, 300, original, PublicKeyGen, 1291, 7347, 19190, 807556
20221029173608, 300, original, encryptedVoteGen, 169355, 435641, 635254, 108721756
20221029173608, 300, original, tallying, 159780, 402639, 570306, 101331668
